rank,abbrv,country,eci_value,delta,year
4,CHE,Switzerland,2.081455,1,1970
5,AUT,Austria,2.053309,-1,1970
6,FRA,France,1.928054,2,1970
7,ITA,Italy,1.912692,-1,1970
8,USA,United States,1.906636,-1,1970
9,FIN,Finland,1.831506,0,1970
10,BEL,Belgium,1.722623,0,1970
11,NOR,Norway,1.589406,0,1970
12,DNK,Denmark,1.508781,1,1970
13,NLD,Netherlands,1.504183,-1,1970
14,HKG,Hong Kong,1.438696,1,1970
15,ZWE,Zimbabwe,1.389357,-1,1970
16,HUN,Hungary,1.290117,0,1970
17,IRL,Ireland,1.163629,3,1970
18,CAN,Canada,1.138623,4,1970
19,ESP,Spain,1.123372,-2,1970
20,PRT,Portugal,1.099129,-2,1970
21,POL,Poland,1.095215,0,1970
22,ROU,Romania,1.085156,4,1970
23,KOR,"Korea, Rep.",0.9797494,0,1970
24,PAN,Panama,0.971373,-5,1970
25,BGR,Bulgaria,0.9119189,0,1970
26,SLV,El Salvador,0.7983596,3,1970
27,CHN,China,0.7509488,3,1970
28,ISR,Israel,0.741137,-4,1970
29,LBN,Lebanon,0.6347208,-1,1970
30,MEX,Mexico,0.506169,4,1970
31,CRI,Costa Rica,0.5041506,1,1970
32,JOR,Jordan,0.4942715,-5,1970
33,TTO,Trinidad and Tobago,0.479963,18,1970
34,GRC,Greece,0.475186,-1,1970
35,URY,Uruguay,0.3730758,0,1970
36,GTM,Guatemala,0.3469595,1,1970
37,NIC,Nicaragua,0.3455578,5,1970
38,CHL,Chile,0.3192396,3,1970
39,IND,India,0.3042023,-1,1970
40,NZL,New Zealand,0.2920581,-1,1970
41,AUS,Australia,0.2669286,-1,1970
42,ARE,United Arab Emirates,0.125728,-11,1970
43,ARG,Argentina,0.0725681,0,1970
44,VNM,Viet Nam,0.0348211,15,1970
45,SGP,Singapore,0.028102,-9,1970
46,EGY,Egypt,0.0198264,0,1970
47,ALB,Albania,0.0142824,1,1970
48,HND,Honduras,-0.0025287,7,1970
49,MRT,Mauritania,-0.0033054,-2,1970
50,PAK,Pakistan,-0.0206308,0,1970
51,TUN,Tunisia,-0.0285319,-7,1970
52,VEN,Venezuela,-0.0534124,-7,1970
53,MAR,Morocco,-0.0599443,0,1970
54,ZAF,South Africa,-0.0607236,0,1970
55,COL,Colombia,-0.1150823,-6,1970
56,CUB,Cuba,-0.2269147,11,1970
57,JAM,Jamaica,-0.2307834,-5,1970
58,DZA,Algeria,-0.2600955,-1,1970
59,KEN,Kenya,-0.3477291,16,1970
60,LAO,Lao PDR,-0.3664781,22,1970
61,KWT,Kuwait,-0.3787681,0,1970
62,SEN,Senegal,-0.394568,1,1970
63,SYR,Syrian Arab Republic,-0.400186,-5,1970
64,PHL,Philippines,-0.4414629,-4,1970
65,SAU,Saudi Arabia,-0.4436047,4,1970
66,PRY,Paraguay,-0.4698668,10,1970
67,TUR,Turkey,-0.4728047,-5,1970
68,MNG,Mongolia,-0.5550222,-12,1970
69,PER,Peru,-0.5814637,-3,1970
70,MLI,Mali,-0.6277307,-6,1970
71,BRA,Brazil,-0.6363763,-1,1970
72,THA,Thailand,-0.692713,-4,1970
73,DOM,Dominican Republic,-0.6998448,4,1970
74,IRN,Iran,-0.7326779,-1,1970
75,MWI,Malawi,-0.744912,-10,1970
76,MYS,Malaysia,-0.7526605,-2,1970
76,OMN,Oman,-0.7526605,-4,1970
78,LBR,Liberia,-0.769806,9,1970
79,BOL,Bolivia,-0.8545016,7,1970
80,MOZ,Mozambique,-0.9006228,-1,1970
81,MDG,Madagascar,-0.9893218,4,1970
82,ZMB,Zambia,-1.031238,7,1970
83,MUS,Mauritius,-1.051512,-2,1970
84,ETH,Ethiopia,-1.052364,-6,1970
85,COG,Congo,-1.096601,-2,1970
86,KHM,Cambodia,-1.179548,-2,1970
87,CMR,Cameroon,-1.229784,-7,1970
88,ECU,Ecuador,-1.271162,5,1970
89,GIN,Guinea,-1.28103,-1,1970
90,LKA,Sri Lanka,-1.282712,0,1970
91,PNG,Papua New Guinea,-1.32936,7,1970
92,IDN,Indonesia,-1.346741,0,1970
93,TZA,Tanzania,-1.349881,1,1970
94,UGA,Uganda,-1.36188,5,1970
95,GHA,Ghana,-1.378924,-4,1970
96,GAB,Gabon,-1.418172,1,1970
97,AGO,Angola,-1.437907,-2,1970
98,CIV,Cote d'Ivoire,-1.477379,-2,1970
99,SDN,Sudan,-1.62607,1,1970
100,NGA,Nigeria,-2.125744,1,1970
101,QAT,Qatar,-2.829393,-30,1970
101,LBY,Libya,-2.829393,1,1970
1,LBY,Libya,5.190962,100,1971
2,SAU,Saudi Arabia,3.952205,63,1971
3,KWT,Kuwait,3.359458,58,1971
4,GAB,Gabon,3.285673,92,1971
5,QAT,Qatar,2.406534,96,1971
6,VEN,Venezuela,2.277803,46,1971
7,CIV,Cote d'Ivoire,1.699297,91,1971
8,GHA,Ghana,1.676085,87,1971
9,LBR,Liberia,1.639193,69,1971
10,MYS,Malaysia,1.568996,66,1971
11,NGA,Nigeria,1.19738,89,1971
12,OMN,Oman,1.143107,64,1971
13,CMR,Cameroon,1.138061,74,1971
14,COG,Congo,1.096694,71,1971
15,PNG,Papua New Guinea,1.020207,76,1971
16,GIN,Guinea,0.918971,73,1971
17,TTO,Trinidad and Tobago,0.7213889,16,1971
18,ECU,Ecuador,0.6759517,70,1971
19,AGO,Angola,0.656272,78,1971
20,LAO,Lao PDR,0.6191104,40,1971
21,IDN,Indonesia,0.5189288,71,1971
22,PAN,Panama,0.4942366,2,1971
23,SGP,Singapore,0.3519932,22,1971
24,BOL,Bolivia,0.30188,55,1971
25,PHL,Philippines,0.2164218,39,1971
26,CRI,Costa Rica,0.2117457,5,1971
27,JAM,Jamaica,0.1756494,30,1971
28,CHE,Switzerland,0.1534355,-24,1971
29,ARE,United Arab Emirates,0.1390261,13,1971
30,GBR,United Kingdom,0.0993919,-28,1971
31,HND,Honduras,0.0430776,17,1971
32,USA,United States,0.023288,-24,1971
33,SWE,Sweden,0.0145247,-32,1971
34,LKA,Sri Lanka,-0.0116264,56,1971
35,JPN,Japan,-0.0371383,-32,1971
36,NLD,Netherlands,-0.0392744,-23,1971
37,AUT,Austria,-0.0497826,-32,1971
38,FRA,France,-0.0997915,-32,1971
39,ITA,Italy,-0.1143657,-32,1971
40,DOM,Dominican Republic,-0.1264203,33,1971
41,BEL,Belgium,-0.1365349,-31,1971
42,HKG,Hong Kong,-0.1526711,-28,1971
43,MRT,Mauritania,-0.1772736,6,1971
44,DNK,Denmark,-0.1874442,-32,1971
45,SLV,El Salvador,-0.1951928,-19,1971
46,ZWE,Zimbabwe,-0.2004295,-31,1971
47,ZMB,Zambia,-0.2090302,35,1971
48,FIN,Finland,-0.2384097,-39,1971
49,NOR,Norway,-0.2556561,-38,1971
50,CUB,Cuba,-0.2657258,6,1971
51,CAN,Canada,-0.2758404,-33,1971
52,SEN,Senegal,-0.2816714,10,1971
53,GTM,Guatemala,-0.302708,-17,1971
54,COL,Colombia,-0.3069691,1,1971
55,MDG,Madagascar,-0.3365504,26,1971
56,PRT,Portugal,-0.3477527,-36,1971
57,ISR,Israel,-0.3592689,-29,1971
58,NIC,Nicaragua,-0.377861,-21,1971
59,POL,Poland,-0.3956904,-38,1971
60,TZA,Tanzania,-0.4113333,33,1971
61,ROU,Romania,-0.4356778,-39,1971
62,MUS,Mauritius,-0.45575,21,1971
63,VNM,Viet Nam,-0.4818103,-19,1971
64,THA,Thailand,-0.4824606,8,1971
65,HUN,Hungary,-0.491252,-49,1971
66,IRN,Iran,-0.4938311,8,1971
67,IRL,Ireland,-0.508476,-50,1971
68,ESP,Spain,-0.533213,-49,1971
69,LBN,Lebanon,-0.5457385,-40,1971
70,AUS,Australia,-0.5500669,-29,1971
71,KEN,Kenya,-0.5576136,-12,1971
72,PRY,Paraguay,-0.5624018,-6,1971
73,BRA,Brazil,-0.5700831,-2,1971
74,MEX,Mexico,-0.579166,-44,1971
75,CHN,China,-0.6148811,-48,1971
76,BGR,Bulgaria,-0.6230108,-51,1971
77,MWI,Malawi,-0.6258254,-2,1971
78,EGY,Egypt,-0.651168,-32,1971
79,MOZ,Mozambique,-0.6924786,1,1971
80,IND,India,-0.7008775,-41,1971
81,JOR,Jordan,-0.7069216,-49,1971
82,KOR,"Korea, Rep.",-0.7093437,-59,1971
83,GRC,Greece,-0.7745727,-49,1971
84,UGA,Uganda,-0.78961,10,1971
85,MLI,Mali,-0.8226115,-15,1971
86,KHM,Cambodia,-0.8759654,0,1971
87,PER,Peru,-0.890756,-18,1971
88,ZAF,South Africa,-0.9008594,-34,1971
89,ALB,Albania,-0.9138895,-42,1971
90,TUN,Tunisia,-0.9204494,-39,1971
91,PAK,Pakistan,-0.9628701,-41,1971
92,CHL,Chile,-0.975575,-54,1971
93,SYR,Syrian Arab Republic,-0.9902198,-30,1971
94,SDN,Sudan,-1.004786,5,1971
95,ETH,Ethiopia,-1.028716,-11,1971
96,DZA,Algeria,-1.074815,-38,1971
97,NZL,New Zealand,-1.133237,-57,1971
98,MAR,Morocco,-1.145572,-45,1971
99,TUR,Turkey,-1.206461,-32,1971
100,ARG,Argentina,-1.335641,-57,1971
101,URY,Uruguay,-1.341584,-66,1971
102,MNG,Mongolia,-1.43432,-34,1971
1,JPN,Japan,2.033906,34,1972
2,SWE,Sweden,2.011815,31,1972
3,AUT,Austria,1.932311,34,1972
4,GBR,United Kingdom,1.918855,26,1972
5,CHE,Switzerland,1.823316,23,1972
6,ITA,Italy,1.769379,33,1972
7,USA,United States,1.764893,25,1972
8,FRA,France,1.732038,30,1972
9,FIN,Finland,1.685726,39,1972
10,NOR,Norway,1.591645,39,1972
11,BEL,Belgium,1.569554,30,1972
12,DNK,Denmark,1.427479,32,1972
13,HKG,Hong Kong,1.406734,29,1972
14,NLD,Netherlands,1.405164,22,1972
15,ZWE,Zimbabwe,1.234158,31,1972
16,IRL,Ireland,1.188968,51,1972
17,ESP,Spain,1.177194,51,1972
18,HUN,Hungary,1.167774,47,1972
19,POL,Poland,1.127742,40,1972
20,ROU,Romania,1.068288,41,1972
21,PRT,Portugal,1.060797,35,1972
22,KOR,"Korea, Rep.",1.028334,60,1972
23,CAN,Canada,1.020518,28,1972
24,BGR,Bulgaria,0.9837493,52,1972
25,ISR,Israel,0.8325463,32,1972
26,PAN,Panama,0.8263228,-4,1972
27,SLV,El Salvador,0.8039855,18,1972
28,CHN,China,0.8032005,47,1972
29,LBN,Lebanon,0.7805942,40,1972
30,URY,Uruguay,0.6533096,71,1972
31,CRI,Costa Rica,0.6141632,-5,1972
32,NZL,New Zealand,0.5348725,65,1972
33,SGP,Singapore,0.5167515,-10,1972
34,JOR,Jordan,0.5161235,47,1972
35,GRC,Greece,0.514307,48,1972
36,GTM,Guatemala,0.4744205,17,1972
37,MEX,Mexico,0.4501209,37,1972
38,IND,India,0.4333903,42,1972
39,CHL,Chile,0.4309458,53,1972
40,NIC,Nicaragua,0.3732186,18,1972
41,AUS,Australia,0.352283,29,1972
42,TTO,Trinidad and Tobago,0.3401612,-25,1972
43,ARG,Argentina,0.3173081,57,1972
44,MNG,Mongolia,0.2823555,58,1972
45,EGY,Egypt,0.2672173,33,1972
46,COL,Colombia,0.2391836,8,1972
47,ALB,Albania,0.1481411,42,1972
48,VNM,Viet Nam,0.0375894,15,1972
49,PAK,Pakistan,0.024307,42,1972
50,MAR,Morocco,0.0229916,48,1972
51,ZAF,South Africa,0.0167513,37,1972
52,TUN,Tunisia,0.0067695,38,1972
53,TUR,Turkey,-0.0257759,46,1972
54,SEN,Senegal,-0.1197384,-2,1972
55,DOM,Dominican Republic,-0.1486132,-15,1972
56,BRA,Brazil,-0.1626749,17,1972
57,HND,Honduras,-0.2573169,-26,1972
58,SYR,Syrian Arab Republic,-0.2629685,35,1972
59,JAM,Jamaica,-0.2721524,-32,1972
60,KEN,Kenya,-0.2806298,11,1972
61,MWI,Malawi,-0.3069367,16,1972
62,LBR,Liberia,-0.3205836,-53,1972
63,VEN,Venezuela,-0.419083,-57,1972
64,DZA,Algeria,-0.438572,32,1972
65,PRY,Paraguay,-0.4571192,7,1972
66,MUS,Mauritius,-0.4648565,-4,1972
67,THA,Thailand,-0.5022424,-3,1972
68,PHL,Philippines,-0.5654865,-43,1972
69,CUB,Cuba,-0.6170911,-19,1972
70,KWT,Kuwait,-0.6462013,-67,1972
71,MLI,Mali,-0.658895,14,1972
72,IRN,Iran,-0.6672043,-6,1972
73,ARE,United Arab Emirates,-0.6773637,-44,1972
74,CMR,Cameroon,-0.7721515,-61,1972
75,PER,Peru,-0.7783077,12,1972
76,MYS,Malaysia,-0.8049958,-66,1972
77,MOZ,Mozambique,-0.8194052,2,1972
78,MDG,Madagascar,-0.8367637,-23,1972
79,MRT,Mauritania,-0.8396456,-36,1972
80,ZMB,Zambia,-0.8739029,-33,1972
81,COG,Congo,-0.9864752,-67,1972
82,AGO,Angola,-1.021349,-63,1972
83,LKA,Sri Lanka,-1.057591,-49,1972
84,OMN,Oman,-1.099418,-72,1972
85,SAU,Saudi Arabia,-1.112852,-83,1972
86,ETH,Ethiopia,-1.13492,9,1972
87,GHA,Ghana,-1.162281,-79,1972
88,TZA,Tanzania,-1.198612,-28,1972
89,GIN,Guinea,-1.245036,-73,1972
90,ECU,Ecuador,-1.288993,-72,1972
91,SDN,Sudan,-1.29931,3,1972
92,CIV,Cote d'Ivoire,-1.307608,-85,1972
93,UGA,Uganda,-1.36233,-9,1972
94,BOL,Bolivia,-1.370515,-70,1972
95,LAO,Lao PDR,-1.378813,-75,1972
96,KHM,Cambodia,-1.406735,-10,1972
97,PNG,Papua New Guinea,-1.465045,-82,1972
98,IDN,Indonesia,-1.472222,-77,1972
99,GAB,Gabon,-1.739664,-95,1972
100,NGA,Nigeria,-2.070799,-89,1972
101,LBY,Libya,-2.950947,-100,1972
102,QAT,Qatar,-3.61546,-97,1972
1,JPN,Japan,2.171606,0,1973
2,GBR,United Kingdom,2.020897,2,1973
3,AUT,Austria,1.995891,0,1973
4,SWE,Sweden,1.951597,-2,1973
5,CHE,Switzerland,1.940832,0,1973
6,ITA,Italy,1.80728,0,1973
7,USA,United States,1.788329,0,1973
8,FRA,France,1.78474,0,1973
9,FIN,Finland,1.614071,0,1973
10,BEL,Belgium,1.61194,1,1973
11,NOR,Norway,1.575496,-1,1973
12,DNK,Denmark,1.494759,0,1973
13,NLD,Netherlands,1.440374,1,1973
14,HKG,Hong Kong,1.362103,-1,1973
15,ZWE,Zimbabwe,1.318371,0,1973
16,IRL,Ireland,1.244249,0,1973
17,KOR,"Korea, Rep.",1.167437,5,1973
18,ESP,Spain,1.133124,-1,1973
19,HUN,Hungary,1.115249,-1,1973
20,POL,Poland,1.105763,-1,1973
21,PRT,Portugal,1.037809,0,1973
22,CAN,Canada,1.013823,1,1973
23,ROU,Romania,0.9966441,-3,1973
24,BGR,Bulgaria,0.9730061,0,1973
25,ISR,Israel,0.8802367,0,1973
26,LBN,Lebanon,0.8608486,3,1973
27,CHN,China,0.8113858,1,1973
28,SLV,El Salvador,0.7743813,-1,1973
29,GRC,Greece,0.66838,6,1973
30,PAN,Panama,0.6447195,-4,1973
31,JOR,Jordan,0.602624,3,1973
32,MEX,Mexico,0.5966359,5,1973
33,CRI,Costa Rica,0.5887192,-2,1973
34,SGP,Singapore,0.5603827,-1,1973
35,NZL,New Zealand,0.5129945,-3,1973
36,TTO,Trinidad and Tobago,0.5122544,6,1973
37,GTM,Guatemala,0.5074774,-1,1973
38,ARG,Argentina,0.4234883,5,1973
39,COL,Colombia,0.3731172,7,1973
40,EGY,Egypt,0.3532469,5,1973
41,IND,India,0.3339372,-3,1973
42,URY,Uruguay,0.3224658,-12,1973
43,AUS,Australia,0.2791032,-2,1973
44,NIC,Nicaragua,0.2789574,-4,1973
45,KWT,Kuwait,0.2384991,25,1973
46,MUS,Mauritius,0.1861096,20,1973
47,TUN,Tunisia,0.0986734,5,1973
48,PAK,Pakistan,0.0877526,1,1973
49,VNM,Viet Nam,0.0216815,-1,1973
50,CHL,Chile,0.0107319,-11,1973
51,HND,Honduras,-0.0094475,6,1973
52,MAR,Morocco,-0.0390722,-2,1973
53,MNG,Mongolia,-0.0431651,-9,1973
54,SEN,Senegal,-0.063909,0,1973
55,MRT,Mauritania,-0.0684224,24,1973
56,SYR,Syrian Arab Republic,-0.0775132,2,1973
57,JAM,Jamaica,-0.1024184,2,1973
58,TUR,Turkey,-0.105233,-5,1973
59,ALB,Albania,-0.1274985,-12,1973
60,ZAF,South Africa,-0.1310868,-9,1973
61,BRA,Brazil,-0.2627782,-5,1973
62,PER,Peru,-0.3743862,13,1973
63,KEN,Kenya,-0.4210008,-3,1973
64,MWI,Malawi,-0.4859382,-3,1973
65,DZA,Algeria,-0.490132,-1,1973
66,MYS,Malaysia,-0.4990467,10,1973
67,PRY,Paraguay,-0.5250172,-2,1973
68,CUB,Cuba,-0.531622,1,1973
69,THA,Thailand,-0.6012354,-2,1973
70,PHL,Philippines,-0.6200405,-2,1973
71,VEN,Venezuela,-0.6556433,-8,1973
72,DOM,Dominican Republic,-0.663134,-17,1973
73,OMN,Oman,-0.7225543,11,1973
74,MOZ,Mozambique,-0.7293609,3,1973
75,MLI,Mali,-0.8181382,-4,1973
76,CMR,Cameroon,-0.8329513,-2,1973
77,LBR,Liberia,-0.8813712,-15,1973
78,ARE,United Arab Emirates,-0.9386385,-5,1973
79,MDG,Madagascar,-1.022403,-1,1973
80,ETH,Ethiopia,-1.039762,6,1973
81,ECU,Ecuador,-1.04187,9,1973
82,ZMB,Zambia,-1.043485,-2,1973
83,LKA,Sri Lanka,-1.058085,0,1973
84,BOL,Bolivia,-1.070173,10,1973
85,AGO,Angola,-1.078325,-3,1973
86,IRN,Iran,-1.124379,-14,1973
87,TZA,Tanzania,-1.203659,1,1973
88,SDN,Sudan,-1.208144,3,1973
89,COG,Congo,-1.255241,-8,1973
90,SAU,Saudi Arabia,-1.2715,-5,1973
91,GIN,Guinea,-1.387336,-2,1973
92,KHM,Cambodia,-1.493415,4,1973
93,LAO,Lao PDR,-1.553968,2,1973
94,IDN,Indonesia,-1.62024,4,1973
95,GHA,Ghana,-1.633472,-8,1973
96,CIV,Cote d'Ivoire,-1.639415,-4,1973
97,UGA,Uganda,-1.769043,-4,1973
98,PNG,Papua New Guinea,-1.839016,-1,1973
99,LBY,Libya,-2.153554,2,1973
100,GAB,Gabon,-2.219378,-1,1973
101,NGA,Nigeria,-2.222854,-1,1973
102,QAT,Qatar,-2.424697,0,1973
1,JPN,Japan,1.96657,0,1974
2,AUT,Austria,1.809124,1,1974
3,SWE,Sweden,1.80678,1,1974
4,GBR,United Kingdom,1.762147,-2,1974
5,CHE,Switzerland,1.759804,0,1974
6,FRA,France,1.644537,2,1974
7,ITA,Italy,1.619207,-1,1974
8,USA,United States,1.568882,-1,1974
9,BEL,Belgium,1.520566,1,1974
10,FIN,Finland,1.489881,-1,1974
11,NOR,Norway,1.407978,0,1974
12,KOR,"Korea, Rep.",1.278763,5,1974
13,DNK,Denmark,1.274746,-1,1974
14,HKG,Hong Kong,1.263476,0,1974
15,NLD,Netherlands,1.252206,-2,1974
16,IRL,Ireland,1.164835,0,1974
17,POL,Poland,1.159367,3,1974
18,ZWE,Zimbabwe,1.148097,-3,1974
19,ESP,Spain,1.082497,-1,1974
20,PRT,Portugal,1.06442,1,1974
21,HUN,Hungary,1.063483,-2,1974
22,CAN,Canada,1.044915,0,1974
23,LBN,Lebanon,1.031246,3,1974
24,BGR,Bulgaria,1.009219,0,1974
25,ROU,Romania,0.8808302,-2,1974
26,ISR,Israel,0.8376916,-1,1974
27,SLV,El Salvador,0.7821448,1,1974
28,CHN,China,0.7523518,-1,1974
29,JOR,Jordan,0.7287293,2,1974
30,PAN,Panama,0.7122595,0,1974
31,GRC,Greece,0.680469,-2,1974
32,MEX,Mexico,0.6497722,0,1974
33,CRI,Costa Rica,0.612648,0,1974
34,URY,Uruguay,0.560259,8,1974
35,ARG,Argentina,0.5046342,3,1974
36,NZL,New Zealand,0.500885,-1,1974
37,IND,India,0.4926166,4,1974
38,SGP,Singapore,0.4829868,-4,1974
39,JAM,Jamaica,0.4575009,18,1974
40,COL,Colombia,0.4512076,-1,1974
41,AUS,Australia,0.3679655,2,1974
42,SYR,Syrian Arab Republic,0.2954022,14,1974
43,GTM,Guatemala,0.2921104,-6,1974
44,EGY,Egypt,0.2895551,-4,1974
45,PAK,Pakistan,0.202006,3,1974
46,MNG,Mongolia,0.1998524,7,1974
47,CHL,Chile,0.1910707,3,1974
48,NIC,Nicaragua,0.1888055,-4,1974
49,MUS,Mauritius,0.1854245,-3,1974
50,TTO,Trinidad and Tobago,0.1046753,-14,1974
51,ALB,Albania,0.0957161,8,1974
52,MAR,Morocco,0.064728,0,1974
53,TUR,Turkey,0.0566091,5,1974
54,MRT,Mauritania,0.0559396,1,1974
55,VNM,Viet Nam,0.032566,-6,1974
56,ZAF,South Africa,-0.0016756,4,1974
57,TUN,Tunisia,-0.00518,-10,1974
58,PHL,Philippines,-0.1663679,12,1974
59,HND,Honduras,-0.1778053,-8,1974
60,BRA,Brazil,-0.1904479,1,1974
61,DOM,Dominican Republic,-0.2055229,11,1974
62,BGD,Bangladesh,-0.235461,0,1974
63,PER,Peru,-0.264685,-1,1974
64,MWI,Malawi,-0.272362,0,1974
65,SEN,Senegal,-0.2867899,-11,1974
66,PRY,Paraguay,-0.3230214,1,1974
67,KEN,Kenya,-0.3444791,-4,1974
68,THA,Thailand,-0.3489759,1,1974
69,MLI,Mali,-0.3824624,6,1974
70,ZMB,Zambia,-0.494125,12,1974
71,CUB,Cuba,-0.5268751,-3,1974
72,MYS,Malaysia,-0.6062897,-6,1974
73,DZA,Algeria,-0.613699,-8,1974
74,VEN,Venezuela,-0.6141007,-3,1974
75,LKA,Sri Lanka,-0.6669471,8,1974
76,MOZ,Mozambique,-0.8308201,-2,1974
77,SDN,Sudan,-0.8483276,11,1974
78,MDG,Madagascar,-0.8495551,1,1974
79,KWT,Kuwait,-0.8756993,-34,1974
80,KHM,Cambodia,-0.877295,12,1974
81,ARE,United Arab Emirates,-0.9142406,-3,1974
82,ETH,Ethiopia,-0.9451495,-2,1974
83,LAO,Lao PDR,-0.9928631,10,1974
84,LBR,Liberia,-1.02375,-7,1974
85,BOL,Bolivia,-1.084072,-1,1974
86,TZA,Tanzania,-1.096201,1,1974
87,CMR,Cameroon,-1.100319,-11,1974
88,GIN,Guinea,-1.12142,3,1974
89,ECU,Ecuador,-1.145857,-8,1974
90,AGO,Angola,-1.156011,-5,1974
91,GHA,Ghana,-1.167281,4,1974
92,COG,Congo,-1.235347,-3,1974
93,QAT,Qatar,-1.251862,9,1974
94,IRN,Iran,-1.317139,-8,1974
95,CIV,Cote d'Ivoire,-1.490541,1,1974
96,IDN,Indonesia,-1.566084,-2,1974
97,UGA,Uganda,-1.588066,0,1974
98,PNG,Papua New Guinea,-1.820385,0,1974
99,SAU,Saudi Arabia,-1.946029,-9,1974
100,NGA,Nigeria,-2.107492,1,1974
101,GAB,Gabon,-2.174554,-1,1974
102,OMN,Oman,-2.30455,-29,1974
103,LBY,Libya,-4.344091,-4,1974
1,JPN,Japan,1.91791,0,1975
2,AUT,Austria,1.833441,0,1975
3,SWE,Sweden,1.798962,0,1975
4,CHE,Switzerland,1.765375,1,1975
5,GBR,United Kingdom,1.672983,-1,1975
6,FRA,France,1.635826,0,1975
7,ITA,Italy,1.614178,0,1975
8,USA,United States,1.561064,0,1975
9,FIN,Finland,1.559949,1,1975
10,BEL,Belgium,1.547005,-1,1975
11,NOR,Norway,1.423146,0,1975
12,DNK,Denmark,1.346042,1,1975
13,POL,Poland,1.311227,4,1975
14,NLD,Netherlands,1.260457,1,1975
15,ZWE,Zimbabwe,1.22687,3,1975
16,HUN,Hungary,1.221849,5,1975
17,ESP,Spain,1.201317,2,1975
18,KOR,"Korea, Rep.",1.190605,-6,1975
19,HKG,Hong Kong,1.15925,-5,1975
20,IRL,Ireland,1.135594,-4,1975
21,PRT,Portugal,1.07246,-1,1975
22,BGR,Bulgaria,1.050355,2,1975
23,LBN,Lebanon,1.042209,0,1975
24,JOR,Jordan,1.024746,5,1975
25,ROU,Romania,1.005342,0,1975
26,CAN,Canada,0.9939602,-4,1975
27,ISR,Israel,0.9494046,-1,1975
28,GRC,Greece,0.7705575,3,1975
29,MEX,Mexico,0.7358772,3,1975
30,SLV,El Salvador,0.6859433,-3,1975
31,URY,Uruguay,0.6438649,3,1975
32,CHN,China,0.6432847,-4,1975
33,PAN,Panama,0.6190262,-3,1975
34,COL,Colombia,0.604286,6,1975
35,SGP,Singapore,0.5706434,3,1975
36,NZL,New Zealand,0.5238896,0,1975
37,IND,India,0.5236776,0,1975
38,CRI,Costa Rica,0.5015616,-5,1975
39,ARG,Argentina,0.4423327,-4,1975
40,GTM,Guatemala,0.4303486,3,1975
41,AUS,Australia,0.4217901,0,1975
42,EGY,Egypt,0.3224467,2,1975
43,JAM,Jamaica,0.3135646,-4,1975
44,CHL,Chile,0.3082978,3,1975
45,NIC,Nicaragua,0.2875655,3,1975
46,TUR,Turkey,0.2395062,7,1975
47,ALB,Albania,0.2285375,4,1975
48,PAK,Pakistan,0.2014783,-3,1975
49,MAR,Morocco,0.1764277,3,1975
50,SEN,Senegal,0.1422272,15,1975
51,SYR,Syrian Arab Republic,0.1287255,-9,1975
52,MNG,Mongolia,0.0894133,-6,1975
53,TUN,Tunisia,0.089189,4,1975
54,TTO,Trinidad and Tobago,0.073267,-4,1975
55,ZAF,South Africa,0.035912,1,1975
56,MUS,Mauritius,0.0250537,-7,1975
57,BRA,Brazil,0.0042253,3,1975
58,MWI,Malawi,-0.0582818,6,1975
59,VNM,Viet Nam,-0.066308,-4,1975
60,HND,Honduras,-0.0702693,-1,1975
61,ZMB,Zambia,-0.0709957,9,1975
62,DOM,Dominican Republic,-0.1973123,-1,1975
63,PER,Peru,-0.2203991,0,1975
64,PHL,Philippines,-0.2492882,-6,1975
65,KEN,Kenya,-0.2919357,2,1975
66,PRY,Paraguay,-0.30344,0,1975
67,MRT,Mauritania,-0.3409546,-13,1975
68,KHM,Cambodia,-0.4793189,12,1975
69,DZA,Algeria,-0.4881564,4,1975
70,THA,Thailand,-0.4894173,-2,1975
71,KWT,Kuwait,-0.5110646,8,1975
72,BGD,Bangladesh,-0.5214643,-10,1975
73,MLI,Mali,-0.5972076,-4,1975
74,MYS,Malaysia,-0.6277035,-2,1975
75,LKA,Sri Lanka,-0.6772692,0,1975
76,MDG,Madagascar,-0.8240247,2,1975
77,VEN,Venezuela,-0.8422799,-3,1975
78,CUB,Cuba,-0.869194,-7,1975
79,ETH,Ethiopia,-0.8977818,3,1975
80,MOZ,Mozambique,-0.9099891,-4,1975
81,LBR,Liberia,-1.030578,3,1975
82,CMR,Cameroon,-1.074598,5,1975
83,LAO,Lao PDR,-1.07693,0,1975
84,TZA,Tanzania,-1.081951,2,1975
85,ECU,Ecuador,-1.115416,4,1975
86,BOL,Bolivia,-1.142397,-1,1975
87,SDN,Sudan,-1.214145,-10,1975
88,GHA,Ghana,-1.292477,3,1975
89,COG,Congo,-1.479604,3,1975
90,CIV,Cote d'Ivoire,-1.486076,5,1975
91,QAT,Qatar,-1.500247,2,1975
92,IRN,Iran,-1.579806,2,1975
93,LBY,Libya,-1.607145,10,1975
94,OMN,Oman,-1.620758,8,1975
95,AGO,Angola,-1.643298,-5,1975
96,IDN,Indonesia,-1.672533,0,1975
97,ARE,United Arab Emirates,-1.850733,-16,1975
98,UGA,Uganda,-1.890792,-1,1975
99,GIN,Guinea,-1.894251,-11,1975
100,PNG,Papua New Guinea,-2.011414,-2,1975
